family_i,family_j,label_i,label_j,n_grid,n_i,n_j,frac_i,frac_j,n_intersect,frac_intersect,frac_j_given_i,frac_i_given_j,jaccard
F1_FRW_VIABLE,F1_FRW_VIABLE,FRW-viable baseline,FRW-viable baseline,2048,1016,1016,0.49609375,0.49609375,1016,0.49609375,1.0,1.0,1.0
F1_FRW_VIABLE,F2_LCDM_LIKE,FRW-viable baseline,LCDM-like FRW,2048,1016,63,0.49609375,0.03076171875,63,0.03076171875,0.06200787401574803,1.0,0.06200787401574803
F1_FRW_VIABLE,F3_TOY_CORRIDOR,FRW-viable baseline,Toy corridor,2048,1016,1186,0.49609375,0.5791015625,154,0.0751953125,0.1515748031496063,0.12984822934232715,0.0751953125
F1_FRW_VIABLE,F4_CORRIDOR_AND_VIABLE,FRW-viable baseline,Toy corridor ∩ FRW-viable,2048,1016,154,0.49609375,0.0751953125,154,0.0751953125,0.1515748031496063,1.0,0.1515748031496063
F1_FRW_VIABLE,F5_CORRIDOR_AND_LCDM,FRW-viable baseline,Toy corridor ∩ LCDM-like,2048,1016,40,0.49609375,0.01953125,40,0.01953125,0.03937007874015748,1.0,0.03937007874015748
F1_FRW_VIABLE,F6_DATA_OK,FRW-viable baseline,External data-compatible,2048,1016,0,0.49609375,0.0,0,0.0,0.0,,0.0
F2_LCDM_LIKE,F1_FRW_VIABLE,LCDM-like FRW,FRW-viable baseline,2048,63,1016,0.03076171875,0.49609375,63,0.03076171875,1.0,0.06200787401574803,0.06200787401574803
F2_LCDM_LIKE,F2_LCDM_LIKE,LCDM-like FRW,LCDM-like FRW,2048,63,63,0.03076171875,0.03076171875,63,0.03076171875,1.0,1.0,1.0
F2_LCDM_LIKE,F3_TOY_CORRIDOR,LCDM-like FRW,Toy corridor,2048,63,1186,0.03076171875,0.5791015625,40,0.01953125,0.6349206349206349,0.03372681281618887,0.033085194375516956
F2_LCDM_LIKE,F4_CORRIDOR_AND_VIABLE,LCDM-like FRW,Toy corridor ∩ FRW-viable,2048,63,154,0.03076171875,0.0751953125,40,0.01953125,0.6349206349206349,0.2597402597402597,0.22598870056497175
F2_LCDM_LIKE,F5_CORRIDOR_AND_LCDM,LCDM-like FRW,Toy corridor ∩ LCDM-like,2048,63,40,0.03076171875,0.01953125,40,0.01953125,0.6349206349206349,1.0,0.6349206349206349
F2_LCDM_LIKE,F6_DATA_OK,LCDM-like FRW,External data-compatible,2048,63,0,0.03076171875,0.0,0,0.0,0.0,,0.0
F3_TOY_CORRIDOR,F1_FRW_VIABLE,Toy corridor,FRW-viable baseline,2048,1186,1016,0.5791015625,0.49609375,154,0.0751953125,0.12984822934232715,0.1515748031496063,0.0751953125
F3_TOY_CORRIDOR,F2_LCDM_LIKE,Toy corridor,LCDM-like FRW,2048,1186,63,0.5791015625,0.03076171875,40,0.01953125,0.03372681281618887,0.6349206349206349,0.033085194375516956
F3_TOY_CORRIDOR,F3_TOY_CORRIDOR,Toy corridor,Toy corridor,2048,1186,1186,0.5791015625,0.5791015625,1186,0.5791015625,1.0,1.0,1.0
F3_TOY_CORRIDOR,F4_CORRIDOR_AND_VIABLE,Toy corridor,Toy corridor ∩ FRW-viable,2048,1186,154,0.5791015625,0.0751953125,154,0.0751953125,0.12984822934232715,1.0,0.12984822934232715
F3_TOY_CORRIDOR,F5_CORRIDOR_AND_LCDM,Toy corridor,Toy corridor ∩ LCDM-like,2048,1186,40,0.5791015625,0.01953125,40,0.01953125,0.03372681281618887,1.0,0.03372681281618887
F3_TOY_CORRIDOR,F6_DATA_OK,Toy corridor,External data-compatible,2048,1186,0,0.5791015625,0.0,0,0.0,0.0,,0.0
F4_CORRIDOR_AND_VIABLE,F1_FRW_VIABLE,Toy corridor ∩ FRW-viable,FRW-viable baseline,2048,154,1016,0.0751953125,0.49609375,154,0.0751953125,1.0,0.1515748031496063,0.1515748031496063
F4_CORRIDOR_AND_VIABLE,F2_LCDM_LIKE,Toy corridor ∩ FRW-viable,LCDM-like FRW,2048,154,63,0.0751953125,0.03076171875,40,0.01953125,0.2597402597402597,0.6349206349206349,0.22598870056497175
F4_CORRIDOR_AND_VIABLE,F3_TOY_CORRIDOR,Toy corridor ∩ FRW-viable,Toy corridor,2048,154,1186,0.0751953125,0.5791015625,154,0.0751953125,1.0,0.12984822934232715,0.12984822934232715
F4_CORRIDOR_AND_VIABLE,F4_CORRIDOR_AND_VIABLE,Toy corridor ∩ FRW-viable,Toy corridor ∩ FRW-viable,2048,154,154,0.0751953125,0.0751953125,154,0.0751953125,1.0,1.0,1.0
F4_CORRIDOR_AND_VIABLE,F5_CORRIDOR_AND_LCDM,Toy corridor ∩ FRW-viable,Toy corridor ∩ LCDM-like,2048,154,40,0.0751953125,0.01953125,40,0.01953125,0.2597402597402597,1.0,0.2597402597402597
F4_CORRIDOR_AND_VIABLE,F6_DATA_OK,Toy corridor ∩ FRW-viable,External data-compatible,2048,154,0,0.0751953125,0.0,0,0.0,0.0,,0.0
F5_CORRIDOR_AND_LCDM,F1_FRW_VIABLE,Toy corridor ∩ LCDM-like,FRW-viable baseline,2048,40,1016,0.01953125,0.49609375,40,0.01953125,1.0,0.03937007874015748,0.03937007874015748
F5_CORRIDOR_AND_LCDM,F2_LCDM_LIKE,Toy corridor ∩ LCDM-like,LCDM-like FRW,2048,40,63,0.01953125,0.03076171875,40,0.01953125,1.0,0.6349206349206349,0.6349206349206349
F5_CORRIDOR_AND_LCDM,F3_TOY_CORRIDOR,Toy corridor ∩ LCDM-like,Toy corridor,2048,40,1186,0.01953125,0.5791015625,40,0.01953125,1.0,0.03372681281618887,0.03372681281618887
F5_CORRIDOR_AND_LCDM,F4_CORRIDOR_AND_VIABLE,Toy corridor ∩ LCDM-like,Toy corridor ∩ FRW-viable,2048,40,154,0.01953125,0.0751953125,40,0.01953125,1.0,0.2597402597402597,0.2597402597402597
F5_CORRIDOR_AND_LCDM,F5_CORRIDOR_AND_LCDM,Toy corridor ∩ LCDM-like,Toy corridor ∩ LCDM-like,2048,40,40,0.01953125,0.01953125,40,0.01953125,1.0,1.0,1.0
F5_CORRIDOR_AND_LCDM,F6_DATA_OK,Toy corridor ∩ LCDM-like,External data-compatible,2048,40,0,0.01953125,0.0,0,0.0,0.0,,0.0
F6_DATA_OK,F1_FRW_VIABLE,External data-compatible,FRW-viable baseline,2048,0,1016,0.0,0.49609375,0,0.0,,0.0,0.0
F6_DATA_OK,F2_LCDM_LIKE,External data-compatible,LCDM-like FRW,2048,0,63,0.0,0.03076171875,0,0.0,,0.0,0.0
F6_DATA_OK,F3_TOY_CORRIDOR,External data-compatible,Toy corridor,2048,0,1186,0.0,0.5791015625,0,0.0,,0.0,0.0
F6_DATA_OK,F4_CORRIDOR_AND_VIABLE,External data-compatible,Toy corridor ∩ FRW-viable,2048,0,154,0.0,0.0751953125,0,0.0,,0.0,0.0
F6_DATA_OK,F5_CORRIDOR_AND_LCDM,External data-compatible,Toy corridor ∩ LCDM-like,2048,0,40,0.0,0.01953125,0,0.0,,0.0,0.0
F6_DATA_OK,F6_DATA_OK,External data-compatible,External data-compatible,2048,0,0,0.0,0.0,0,0.0,,,
