ic_index,psi0_real,psi0_imag,r0,ever_on_floor,floor_active_fraction,r_min,r_max,r_final,gamma,omega,drive,eps,h,n_steps
0,-1.4770767801830722,0.596890565611914,1.593120887400734,False,0.0,0.10440826754690455,1.593120887400734,0.1060660138968145,1.0,1.0,0.15,0.05,0.01,2000
1,-0.5667592798939847,-1.6509001418489797,1.7454762558404882,False,0.0,0.09776405371893386,1.7454762558404882,0.10606601797164225,1.0,1.0,0.15,0.05,0.01,2000
2,0.36519308036186465,-0.05637794414139964,0.36951922619776917,False,0.0,0.0996608645511381,0.36951922619776917,0.10606601782889694,1.0,1.0,0.15,0.05,0.01,2000
3,0.3527348150941228,-1.5299149481322452,1.5700514635826353,False,0.0,0.09389860377215506,1.5700514635826353,0.10606601943909968,1.0,1.0,0.15,0.05,0.01,2000
4,-0.40985071796327427,0.13207065470388815,0.4306045388159826,False,0.0,0.05514298820762763,0.4306045388159826,0.10606601627033334,1.0,1.0,0.15,0.05,0.01,2000
5,0.7772111474474704,-0.38521268930443,0.8674364436186462,False,0.0,0.0920650926288175,0.8674364436186462,0.1060660189106671,1.0,1.0,0.15,0.05,0.01,2000
6,0.5998637201901147,-1.2193966674190877,1.3589572161451962,False,0.0,0.09321015053564187,1.3589572161451962,0.10606601952562367,1.0,1.0,0.15,0.05,0.01,2000
7,0.14226201621110085,0.9879555017699364,0.998145557889196,True,0.0405,0.048291953691927826,0.998145557889196,0.10606601770951418,1.0,1.0,0.15,0.05,0.01,2000
8,1.1032079635312415,0.4676981103856463,1.1982526166285026,False,0.0,0.06442045456444404,1.1982526166285026,0.10606601853386771,1.0,1.0,0.15,0.05,0.01,2000
9,-1.1437594886279712,-1.2437935327917176,1.6897361095866477,False,0.0,0.1004950615241173,1.6897361095866477,0.10606601651584555,1.0,1.0,0.15,0.05,0.01,2000
10,-0.9552422803533682,1.2390939064051094,1.564557932153673,False,0.0,0.10022246060930318,1.564557932153673,0.10606601409445013,1.0,1.0,0.15,0.05,0.01,2000
11,1.5244380255296481,-1.2115677301213925,1.947256443910826,False,0.0,0.07955151782890621,1.947256443910826,0.1060660211272465,1.0,1.0,0.15,0.05,0.01,2000
12,0.5457683025073155,1.5052000172288587,1.6010902947327714,True,0.044,0.04800252519008911,1.6010902947327714,0.1060660172924516,1.0,1.0,0.15,0.05,0.01,2000
13,1.0009521483553085,0.2826627747388405,1.0400978067086615,False,0.0,0.07372546778325437,1.0400978067086615,0.10606601856069436,1.0,1.0,0.15,0.05,0.01,2000
14,-0.19508616085370106,-0.43607204173894815,0.4777210857215861,False,0.0,0.10371254566496456,0.4777210857215861,0.10606601727358204,1.0,1.0,0.15,0.05,0.01,2000
15,1.508582228087563,-0.31231615471947993,1.540571880634071,False,0.0,0.0746218761250597,1.540571880634071,0.10606602010373525,1.0,1.0,0.15,0.05,0.01,2000
16,-0.5400402213615453,0.5717658861371606,0.7864856446486733,True,0.005,0.04952802460349601,0.7864856446486733,0.10606601553447798,1.0,1.0,0.15,0.05,0.01,2000
17,0.387989713983174,0.9705194403241878,1.0452004602964542,True,0.0235,0.04874592601579209,1.0452004602964542,0.10606601736926716,1.0,1.0,0.15,0.05,0.01,2000
18,-0.4288135953197607,0.06597181495197356,0.433858709603849,False,0.0,0.0717340425788064,0.433858709603849,0.10606601631050912,1.0,1.0,0.15,0.05,0.01,2000
19,-0.2937396045605412,-0.5328343257844302,0.6084368282915914,False,0.0,0.103340742375333,0.6084368282915914,0.10606601720892296,1.0,1.0,0.15,0.05,0.01,2000
20,0.48991448806252214,-0.8566813926644491,0.9868734539701953,False,0.0,0.09622990498280334,0.9868734539701953,0.10606601893243263,1.0,1.0,0.15,0.05,0.01,2000
21,-0.5577696199854076,1.3497728160136235,1.4604771836040484,False,0.0,0.0637766808163041,1.4604771836040484,0.10606601466413815,1.0,1.0,0.15,0.05,0.01,2000
22,0.5728337714036815,-1.5985290703905042,1.6980676425113619,False,0.0,0.09155906318402117,1.6980676425113619,0.10606601989842522,1.0,1.0,0.15,0.05,0.01,2000
23,-0.21404585791784905,0.8715622553032553,0.8974610822543141,True,0.0335,0.04800427326325693,0.8974610822543141,0.1060660148853533,1.0,1.0,0.15,0.05,0.01,2000
24,0.9122656644157981,1.0992545139025836,1.4284919071549558,True,0.023,0.04876934395297696,1.4284919071549558,0.10606601828671446,1.0,1.0,0.15,0.05,0.01,2000
25,0.5592358902448732,0.0258878843211995,0.559834764455195,False,0.0,0.09297211434017673,0.559834764455195,0.1060660180757462,1.0,1.0,0.15,0.05,0.01,2000
26,-0.824150536178276,-1.3905866990079023,1.616463879503849,False,0.0,0.09961699128130434,1.616463879503849,0.10606601723506463,1.0,1.0,0.15,0.05,0.01,2000
27,0.2819271264383809,-1.4419961069018181,1.4692976815274033,False,0.0,0.09497443752811785,1.4692976815274033,0.10606601921840916,1.0,1.0,0.15,0.05,0.01,2000
28,-0.9318226078406314,-0.42951360675497463,1.0260483959690119,False,0.0,0.1035858211064624,1.0260483959690119,0.10606601598317514,1.0,1.0,0.15,0.05,0.01,2000
29,0.33965649974749457,0.2976697348610158,0.45163459662978345,False,0.0,0.08611511388383858,0.45163459662978345,0.106066017392323,1.0,1.0,0.15,0.05,0.01,2000
30,-1.3800503188425115,0.25342022922788054,1.4031253312228489,False,0.0,0.10425401691282978,1.4031253312228489,0.10606601444618523,1.0,1.0,0.15,0.05,0.01,2000
31,0.11456111136748626,-1.2120228389331396,1.21742499166614,False,0.0,0.09756043074176667,1.21742499166614,0.1060660186722257,1.0,1.0,0.15,0.05,0.01,2000
32,-1.267134529698934,-0.4434607922430723,1.3424929760010635,False,0.0,0.10318946661826976,1.3424929760010635,0.10606601541462217,1.0,1.0,0.15,0.05,0.01,2000
33,-0.4012142745034693,1.1379126694211381,1.2065728893417444,True,0.01,0.048925726881757996,1.2065728893417444,0.10606601498537409,1.0,1.0,0.15,0.05,0.01,2000
34,-0.23554185638105565,0.0989243595200031,0.25547210222229094,True,0.0235,0.04810299310385381,0.25547210222229094,0.10606601637941303,1.0,1.0,0.15,0.05,0.01,2000
35,-0.4920641030891264,0.31869234057712037,0.5862524110751526,False,0.0,0.05015504168954233,0.5862524110751526,0.10606601592046744,1.0,1.0,0.15,0.05,0.01,2000
36,0.17489730236202305,1.7272934886930684,1.736125531882699,True,0.0165,0.04838833112183965,1.736125531882699,0.10606601504195011,1.0,1.0,0.15,0.05,0.01,2000
37,-0.059743395671098425,0.29903534921549135,0.30494493504031883,False,0.0,0.05281946891495882,0.30494493504031883,0.10606601669519218,1.0,1.0,0.15,0.05,0.01,2000
38,-0.382898443602604,-0.619722132879968,0.7284687639800304,False,0.0,0.10299739171161987,0.7284687639800304,0.10606601714986447,1.0,1.0,0.15,0.05,0.01,2000
39,0.2542202679062649,-1.1754820363558638,1.202657874214301,False,0.0,0.09677866111321347,1.202657874214301,0.10606601887499643,1.0,1.0,0.15,0.05,0.01,2000
40,-1.161202057840515,0.7744468765877677,1.3957643725892976,False,0.0,0.10487270606380746,1.3957643725892976,0.10606601425032192,1.0,1.0,0.15,0.05,0.01,2000
41,0.8298417797404122,1.4437367704359299,1.6652366923988626,True,0.061,0.04813939361678276,1.6652366923988626,0.10606602200895306,1.0,1.0,0.15,0.05,0.01,2000
42,0.20334434961765688,0.12913204140303147,0.24088173164094887,False,0.0,0.09973024087973885,0.24088173164094887,0.1060660173415645,1.0,1.0,0.15,0.05,0.01,2000
43,-1.4574133018888116,0.3559312034986005,1.5002468310736106,False,0.0,0.1042501131243906,1.5002468310736106,0.1060660141979173,1.0,1.0,0.15,0.05,0.01,2000
44,-0.49027863831527024,-0.0032184879905763552,0.4902892022604832,False,0.0,0.09721378118794817,0.4902892022604832,0.10606601628008427,1.0,1.0,0.15,0.05,0.01,2000
45,-0.1569099280510515,-0.4474468378736328,0.47416178488370314,False,0.0,0.10357727553976966,0.47416178488370314,0.10606601735266927,1.0,1.0,0.15,0.05,0.01,2000
46,-0.7356056795745439,0.6819504165475879,1.0030812960332554,False,0.0,0.0762644365514397,1.0030812960332554,0.10606601509400297,1.0,1.0,0.15,0.05,0.01,2000
47,-0.507465891956514,-0.5423227654918775,0.7427217604661778,False,0.0,0.10342494042986423,0.7427217604661778,0.10606601684719281,1.0,1.0,0.15,0.05,0.01,2000
48,0.725401472503685,0.4454670429915269,0.8512626989961027,False,0.0,0.07206607958733267,0.8512626989961027,0.10606601790047787,1.0,1.0,0.15,0.05,0.01,2000
49,0.40064845217153705,-0.09779233308199052,0.4124106238169276,False,0.0,0.09911651714403091,0.4124106238169276,0.10606601793651331,1.0,1.0,0.15,0.05,0.01,2000
50,-0.5703949680677906,-1.7445655107960174,1.8354452432736927,False,0.0,0.09725028549401826,1.8354452432736927,0.10606601806904187,1.0,1.0,0.15,0.05,0.01,2000
51,0.6658797393198,-0.1305982196328313,0.6785659306271352,False,0.0,0.09272698664039333,0.6785659306271352,0.10606601843478741,1.0,1.0,0.15,0.05,0.01,2000
52,-0.33082216626774064,-1.567215674164385,1.60175162713843,False,0.0,0.09753885352094752,1.60175162713843,0.10606601828988604,1.0,1.0,0.15,0.05,0.01,2000
53,-0.14052627671114118,0.9990155695634276,1.0088507038588197,True,0.034,0.048003317382394675,1.0088507038588197,0.10606601490739441,1.0,1.0,0.15,0.05,0.01,2000
54,0.3057200852165846,-0.21456995880291888,0.37350373187629876,False,0.0,0.10136846101760127,0.37350373187629876,0.10606601790050847,1.0,1.0,0.15,0.05,0.01,2000
55,0.3008751391631418,0.9750306891411746,1.0203973217005,True,0.0275,0.04858611332866126,1.0203973217005,0.10606601737890169,1.0,1.0,0.15,0.05,0.01,2000
56,-0.659628168434458,-0.358432819072225,0.7507219234711746,False,0.0,0.10405139761517528,0.7507219234711746,0.10606601637852503,1.0,1.0,0.15,0.05,0.01,2000
57,0.32173951733621803,-0.4062088195668404,0.5181910092906171,False,0.0,0.1004546882134803,0.5181910092906171,0.10606601814064348,1.0,1.0,0.15,0.05,0.01,2000
58,-0.29850130510174583,-1.5366102675278899,1.5653351537033782,False,0.0,0.09760346087046766,1.5653351537033782,0.10606601831228335,1.0,1.0,0.15,0.05,0.01,2000
59,-0.6812837620624088,-0.7013427579006826,0.9777674715951867,False,0.0,0.10275640810905151,0.9777674715951867,0.10606601672057153,1.0,1.0,0.15,0.05,0.01,2000
60,-0.7365159859380896,-1.0116753218735142,1.251376344042924,False,0.0,0.101380891786503,1.251376344042924,0.10606601696806046,1.0,1.0,0.15,0.05,0.01,2000
61,-0.30388610277018885,0.177643126215632,0.3519997780518004,True,0.021,0.04817420435826288,0.3519997780518004,0.1060660161579868,1.0,1.0,0.15,0.05,0.01,2000
62,-0.2747095869244244,0.010377085471751672,0.27490551295140647,False,0.0,0.05319368823737604,0.27490551295140647,0.10606601664047537,1.0,1.0,0.15,0.05,0.01,2000
63,0.48836794892568347,0.6257284540462327,0.7937501821990136,False,0.0,0.06120400194791934,0.7937501821990136,0.10606601728801186,1.0,1.0,0.15,0.05,0.01,2000
64,-0.329042574821965,-0.20204891391042268,0.38612534190059294,False,0.0,0.10482389600391068,0.38612534190059294,0.10606601678110163,1.0,1.0,0.15,0.05,0.01,2000
65,0.4519739232156067,-0.22986270563479066,0.507067343366395,False,0.0,0.09853007979152546,0.507067343366395,0.10606601817216901,1.0,1.0,0.15,0.05,0.01,2000
66,-0.7123629995530575,1.0221696596938308,1.2459100514607109,False,0.0,0.07251245767735462,1.2459100514607109,0.10606601475770049,1.0,1.0,0.15,0.05,0.01,2000
67,1.2506990747389022,0.1804378033270764,1.26364788466655,False,0.0,0.07111538386021432,1.26364788466655,0.10606601910887965,1.0,1.0,0.15,0.05,0.01,2000
68,-1.9135165645967052,0.213646600926985,1.9254065838346017,False,0.0,0.10348009251670452,1.9254065838346017,0.10606601356111714,1.0,1.0,0.15,0.05,0.01,2000
69,1.3964081241034372,0.7991738779068364,1.6089234090505151,True,0.01,0.049467582378579004,1.6089234090505151,0.10606601879544197,1.0,1.0,0.15,0.05,0.01,2000
70,-1.0741513095220188,0.06279072233988933,1.0759849955086886,False,0.0,0.10444476596784037,1.0759849955086886,0.10606601519007387,1.0,1.0,0.15,0.05,0.01,2000
71,-1.6995636500923812,-0.8224100292042328,1.8880876189549691,False,0.0,0.10170788512949697,1.8880876189549691,0.10606601508115383,1.0,1.0,0.15,0.05,0.01,2000
72,-0.11202489168999881,1.0463008946960979,1.0522809219025169,True,0.0335,0.048004413138036335,1.0522809219025169,0.10606601492790256,1.0,1.0,0.15,0.05,0.01,2000
73,-0.790112016856014,-0.10320755254483341,0.796824195216594,False,0.0,0.1045575245309211,0.796824195216594,0.10606601586861186,1.0,1.0,0.15,0.05,0.01,2000
74,0.9809266410126882,0.1340275013921779,0.9900406285490841,False,0.0,0.07895615585221266,0.9900406285490841,0.10606601869042616,1.0,1.0,0.15,0.05,0.01,2000
75,1.340755731137276,-1.024422417446165,1.687325463549844,False,0.0,0.08258430842525714,1.687325463549844,0.10606602060007646,1.0,1.0,0.15,0.05,0.01,2000
76,-0.42662031361533265,-0.15068054504866044,0.4524483601974994,False,0.0,0.10489665949146508,0.4524483601974994,0.10606601655426545,1.0,1.0,0.15,0.05,0.01,2000
77,-0.18560690806744862,-0.3491704024679643,0.3954363340437984,False,0.0,0.1041611257858005,0.3954363340437984,0.10606601719385052,1.0,1.0,0.15,0.05,0.01,2000
78,-0.3805726669303222,-0.5949052688859158,0.706220810910215,False,0.0,0.1031189937511404,0.706220810910215,0.10606601712643109,1.0,1.0,0.15,0.05,0.01,2000
79,0.17635082794135806,-1.498247341391222,1.508590305716389,False,0.0,0.09540240418592351,1.508590305716389,0.10606601909682797,1.0,1.0,0.15,0.05,0.01,2000
80,0.3403433151826574,-0.198368823028346,0.39393370272061384,False,0.0,0.10075615015528529,0.39393370272061384,0.10606601794286799,1.0,1.0,0.15,0.05,0.01,2000
81,0.5974883835003877,0.14309711884783793,0.6143851836107855,False,0.0,0.08859098125680509,0.6143851836107855,0.10606601801256309,1.0,1.0,0.15,0.05,0.01,2000
82,-0.8256401859212915,0.8690699355016045,1.1987344449046702,False,0.0,0.08579730106876535,1.1987344449046702,0.10606601472996388,1.0,1.0,0.15,0.05,0.01,2000
83,0.6061263430532526,-1.5814438874045953,1.6936215376383437,False,0.0,0.09132252751289419,1.6936215376383437,0.10606601993748817,1.0,1.0,0.15,0.05,0.01,2000
84,0.7373395314109988,-0.22481136278047242,0.7708500070808877,False,0.0,0.09193780950306969,0.7708500070808877,0.10606601866358437,1.0,1.0,0.15,0.05,0.01,2000
85,-0.7204160232264248,-0.06836027966164702,0.7236521086522136,False,0.0,0.10471821316419938,0.7236521086522136,0.10606601595140616,1.0,1.0,0.15,0.05,0.01,2000
86,0.6081021500291486,-0.2584286627444245,0.660737163021685,False,0.0,0.09520894886337736,0.660737163021685,0.10606601847572715,1.0,1.0,0.15,0.05,0.01,2000
87,0.4766657474320037,0.13819396071346543,0.4962940716476327,False,0.0,0.09201564079167825,0.4962940716476327,0.10606601780756132,1.0,1.0,0.15,0.05,0.01,2000
88,0.9820467502876742,-0.047081702508047864,0.9831747080054682,False,0.0,0.08321203002813377,0.9831747080054682,0.10606601889295035,1.0,1.0,0.15,0.05,0.01,2000
89,-0.015786625014930323,-1.8049500433416674,1.8050190792588452,False,0.0,0.09471249875556566,1.8050190792588452,0.1060660191018546,1.0,1.0,0.15,0.05,0.01,2000
90,1.4141306719573097,-1.1191878860638826,1.8034264835813447,False,0.0,0.08138499257194605,1.8034264835813447,0.10606602083282061,1.0,1.0,0.15,0.05,0.01,2000
91,-0.4564110666902205,1.0380367583395016,1.1339450486956084,True,0.0085,0.04907148507470466,1.1339450486956084,0.10606601505651096,1.0,1.0,0.15,0.05,0.01,2000
92,-0.837706592487524,-1.3509800031476271,1.5896223777997784,False,0.0,0.0998285621833202,1.5896223777997784,0.10606601716759127,1.0,1.0,0.15,0.05,0.01,2000
93,0.7233367072460243,0.4880437392119909,0.8725839119726782,False,0.0,0.06974388260595625,0.8725839119726782,0.10606601784972934,1.0,1.0,0.15,0.05,0.01,2000
94,-0.12077628474265759,1.539490991769704,1.5442213004282468,True,0.0125,0.04868880088316232,1.5442213004282468,0.106066014890327,1.0,1.0,0.15,0.05,0.01,2000
95,0.10695703657115233,1.883228830682676,1.8862636709608025,True,0.01,0.04894893165012774,1.8862636709608025,0.10606601500066257,1.0,1.0,0.15,0.05,0.01,2000
96,0.20537509351811506,-0.3674669979757511,0.42096427834067485,False,0.0,0.10206055527184874,0.42096427834067485,0.10606601789507082,1.0,1.0,0.15,0.05,0.01,2000
97,0.20461093116360393,0.42968171895094887,0.4759117699240893,False,0.0,0.07172355066100991,0.4759117699240893,0.10606601701092011,1.0,1.0,0.15,0.05,0.01,2000
98,0.9018192171536502,-0.9067961387028829,1.2788890247375182,False,0.0,0.09014827876390642,1.2788890247375182,0.10606601970533092,1.0,1.0,0.15,0.05,0.01,2000
99,-0.20483361040578893,0.5142923912916325,0.5535823982862318,True,0.051,0.04818895316298531,0.5535823982862318,0.1060660169505147,1.0,1.0,0.15,0.05,0.01,2000
100,1.574335790202294,-0.2816365363178771,1.5993287088341197,False,0.0,0.07270271824916227,1.5993287088341197,0.10606602018427873,1.0,1.0,0.15,0.05,0.01,2000
101,0.6810274328374217,0.8655278811227187,1.1013341351642163,True,0.01,0.049477644819352296,1.1013341351642163,0.10606601747381186,1.0,1.0,0.15,0.05,0.01,2000
102,0.02869322909442427,0.2232489617599999,0.2250853178747628,False,0.0,0.07834874776916524,0.2250853178747628,0.10606601693314996,1.0,1.0,0.15,0.05,0.01,2000
103,-0.19198499925408008,-0.39288109076245276,0.43727999201573786,False,0.0,0.10393974440101268,0.43727999201573786,0.10606601723115044,1.0,1.0,0.15,0.05,0.01,2000
104,-0.41896692411722347,-0.016672000019583376,0.41929850833135607,False,0.0,0.08851312651163193,0.41929850833135607,0.10606601641918438,1.0,1.0,0.15,0.05,0.01,2000
105,-1.2654265962386306,-0.7072803905947921,1.4496723841571957,False,0.0,0.10244423595239967,1.4496723841571957,0.10606601570976959,1.0,1.0,0.15,0.05,0.01,2000
106,0.18665736518735174,-0.5275480118854087,0.5595961729881037,False,0.0,0.10127905026445329,0.5595961729881037,0.10606601803975618,1.0,1.0,0.15,0.05,0.01,2000
107,-0.10289203682737572,-1.4841705468245492,1.4877328333084427,False,0.0,0.09709847620788038,1.4877328333084427,0.10606601859489248,1.0,1.0,0.15,0.05,0.01,2000
108,0.3106346388964731,0.3058077454661354,0.43590395280316385,False,0.0,0.08560557632228209,0.43590395280316385,0.10606601733276423,1.0,1.0,0.15,0.05,0.01,2000
109,-1.4956518439757969,1.1218185259090314,1.8696125918117137,False,0.0,0.10459262407026708,1.8696125918117137,0.10606601328312011,1.0,1.0,0.15,0.05,0.01,2000
110,-0.7398004253695201,0.05315601169810689,0.7417076452056917,False,0.0,0.10489514511974266,0.7417076452056917,0.10606601578306925,1.0,1.0,0.15,0.05,0.01,2000
111,1.3393503259725967,-0.38343602163851764,1.3931555829744482,False,0.0,0.07933780071807146,1.3931555829744482,0.10606601988775426,1.0,1.0,0.15,0.05,0.01,2000
112,0.6372156194944206,-0.32564429386542376,0.7156032083876991,False,0.0,0.09485305973968525,0.7156032083876991,0.10606601860087234,1.0,1.0,0.15,0.05,0.01,2000
113,-0.2301744849314945,-0.08319159726469877,0.2447470844952614,False,0.0,0.07930211765942366,0.2447470844952614,0.10606601682166499,1.0,1.0,0.15,0.05,0.01,2000
114,1.055068771991048,0.8279656753804873,1.341155201025953,True,0.007,0.04963525860223356,1.341155201025953,0.10606601810443875,1.0,1.0,0.15,0.05,0.01,2000
115,-0.3954067387485711,0.22025094086381378,0.4526112747150428,True,0.011,0.048798676953716036,0.4526112747150428,0.10606601612187447,1.0,1.0,0.15,0.05,0.01,2000
116,-1.5967145978731019,-1.1004847930544814,1.9392174418577268,False,0.0,0.10091632212833151,1.9392174418577268,0.10606601556824177,1.0,1.0,0.15,0.05,0.01,2000
117,0.6295323863519019,-1.7708727932612212,1.8794417988803802,False,0.0,0.09011023190164963,1.8794417988803802,0.10606602018804076,1.0,1.0,0.15,0.05,0.01,2000
118,0.22563906152657215,-1.0165458111682715,1.0412868827995247,False,0.0,0.09796409985824686,1.0412868827995247,0.10606601864920034,1.0,1.0,0.15,0.05,0.01,2000
119,0.17963405751754974,0.14698604912770463,0.23210621115857794,False,0.0,0.09902237757383908,0.23210621115857794,0.10606601728049643,1.0,1.0,0.15,0.05,0.01,2000
120,0.4908541594161668,-1.6202514363465361,1.6929715067889257,False,0.0,0.09220532049694169,1.6929715067889257,0.10606601977970159,1.0,1.0,0.15,0.05,0.01,2000
121,-0.6072257701751514,-0.11888042007223502,0.6187533355395807,False,0.0,0.10476181387730933,0.6187533355395807,0.10606601620449456,1.0,1.0,0.15,0.05,0.01,2000
122,0.8701761715226525,-0.9534314806107467,1.2908284772600198,False,0.0,0.09056873417064454,1.2908284772600198,0.10606601970186687,1.0,1.0,0.15,0.05,0.01,2000
123,-1.0964500776603892,0.6712274491988329,1.285592883209706,False,0.0,0.10491218358650355,1.285592883209706,0.10606601447741042,1.0,1.0,0.15,0.05,0.01,2000
124,-0.7805080446222753,0.39225512891033165,0.8735312781329291,False,0.0,0.09525584047815308,0.8735312781329291,0.10606601533662771,1.0,1.0,0.15,0.05,0.01,2000
125,0.9243066334748449,-1.0159198526362958,1.3734758460439536,False,0.0,0.08959950618944697,1.3734758460439536,0.10606601986534774,1.0,1.0,0.15,0.05,0.01,2000
126,0.013804962902708344,1.0169206890726585,1.0170143877373397,True,0.0835,0.048002529793726725,1.0170143877373397,0.10606602088548323,1.0,1.0,0.15,0.05,0.01,2000
